character_name,character_link
Adam,https://breakingbad.fandom.com/wiki/Adam
Todd Alquist,https://breakingbad.fandom.com/wiki/Todd_Alquist
Antonio,https://breakingbad.fandom.com/wiki/Antonio
Hugo Archilleya,https://breakingbad.fandom.com/wiki/Hugo_Archilleya
Max Arciniega,https://breakingbad.fandom.com/wiki/Max_Arciniega
Arms Dealer,https://breakingbad.fandom.com/wiki/Arms_Dealer
Artie,https://breakingbad.fandom.com/wiki/Artie
Artuno,https://breakingbad.fandom.com/wiki/Artuno
Huell Babineaux,https://breakingbad.fandom.com/wiki/Huell_Babineaux
Badger,https://breakingbad.fandom.com/wiki/Badger
Ashleigh Banfield,https://breakingbad.fandom.com/wiki/Ashleigh_Banfield
Barry,https://breakingbad.fandom.com/wiki/Barry
Dr. Belknap,https://breakingbad.fandom.com/wiki/Dr._Belknap
Ben,https://breakingbad.fandom.com/wiki/Ben
Mr. Beneke,https://breakingbad.fandom.com/wiki/Mr._Beneke
Ted Beneke,https://breakingbad.fandom.com/wiki/Ted_Beneke
Benny,https://breakingbad.fandom.com/wiki/Benny
Billy,https://breakingbad.fandom.com/wiki/Billy
Bob,https://breakingbad.fandom.com/wiki/Bob
Bob (Raks Building Supply),https://breakingbad.fandom.com/wiki/Bob_(Raks_Building_Supply)
Gale Boetticher,https://breakingbad.fandom.com/wiki/Gale_Boetticher
Harris Boivin,https://breakingbad.fandom.com/wiki/Harris_Boivin
Chief Bolsa,https://breakingbad.fandom.com/wiki/Chief_Bolsa
Juan Bolsa,https://breakingbad.fandom.com/wiki/Juan_Bolsa
Dr. Victor Bravenec,https://breakingbad.fandom.com/wiki/Dr._Victor_Bravenec
Brenda,https://breakingbad.fandom.com/wiki/Brenda
Paul Canterna,https://breakingbad.fandom.com/wiki/Paul_Canterna
Andrea Cantillo,https://breakingbad.fandom.com/wiki/Andrea_Cantillo
Brock Cantillo,https://breakingbad.fandom.com/wiki/Brock_Cantillo
Mrs. Cantillo,https://breakingbad.fandom.com/wiki/Mrs._Cantillo
Tomás Cantillo,https://breakingbad.fandom.com/wiki/Tom%C3%A1s_Cantillo
Cara,https://breakingbad.fandom.com/wiki/Cara
Caregiver,https://breakingbad.fandom.com/wiki/Caregiver
Carol,https://breakingbad.fandom.com/wiki/Carol
Cartel Hijackers,https://breakingbad.fandom.com/wiki/Cartel_Hijackers
Cartel Superlab Guards,https://breakingbad.fandom.com/wiki/Cartel_Superlab_Guards
Cartel's Hitmen,https://breakingbad.fandom.com/wiki/Cartel%27s_Hitmen
The Cartel,https://breakingbad.fandom.com/wiki/The_Cartel
Cavanaugh,https://breakingbad.fandom.com/wiki/Cavanaugh
Cesar,https://breakingbad.fandom.com/wiki/Cesar
Chad,https://breakingbad.fandom.com/wiki/Chad
Chad's Girlfriend,https://breakingbad.fandom.com/wiki/Chad%27s_Girlfriend
Dr. Chavez,https://breakingbad.fandom.com/wiki/Dr._Chavez
Chief Food Technician,https://breakingbad.fandom.com/wiki/Chief_Food_Technician
Duane Chow,https://breakingbad.fandom.com/wiki/Duane_Chow
Chuck (therapist),https://breakingbad.fandom.com/wiki/Chuck_(therapist)
Cisco,https://breakingbad.fandom.com/wiki/Cisco
Clovis,https://breakingbad.fandom.com/wiki/Clovis
Combo,https://breakingbad.fandom.com/wiki/Combo
Isaac Conley,https://breakingbad.fandom.com/wiki/Isaac_Conley
Louis Corbett,https://breakingbad.fandom.com/wiki/Louis_Corbett
Dana Cortez,https://breakingbad.fandom.com/wiki/Dana_Cortez
Cynthia,https://breakingbad.fandom.com/wiki/Cynthia
Dave,https://breakingbad.fandom.com/wiki/Dave
Declan,https://breakingbad.fandom.com/wiki/Declan
Declan's Bodyguards,https://breakingbad.fandom.com/wiki/Declan%27s_Bodyguards
Declan's Cook,https://breakingbad.fandom.com/wiki/Declan%27s_Cook
Declan's Driver,https://breakingbad.fandom.com/wiki/Declan%27s_Driver
Dr. Delcavoli,https://breakingbad.fandom.com/wiki/Dr._Delcavoli
Delores,https://breakingbad.fandom.com/wiki/Delores
Denise (Breaking Bad),https://breakingbad.fandom.com/wiki/Denise_(Breaking_Bad)
Stephanie Doswell,https://breakingbad.fandom.com/wiki/Stephanie_Doswell
Kaylee Ehrmantraut,https://breakingbad.fandom.com/wiki/Kaylee_Ehrmantraut
Mike Ehrmantraut,https://breakingbad.fandom.com/wiki/Mike_Ehrmantraut
Stacey Ehrmantraut,https://breakingbad.fandom.com/wiki/Stacey_Ehrmantraut
Emotional Woman,https://breakingbad.fandom.com/wiki/Emotional_Woman
Engineer,https://breakingbad.fandom.com/wiki/Engineer
Escalada,https://breakingbad.fandom.com/wiki/Escalada
Farley,https://breakingbad.fandom.com/wiki/Farley
Fernando,https://breakingbad.fandom.com/wiki/Fernando
Ron Forenall,https://breakingbad.fandom.com/wiki/Ron_Forenall
Fran,https://breakingbad.fandom.com/wiki/Fran
Frankie,https://breakingbad.fandom.com/wiki/Frankie
Gustavo Fring,https://breakingbad.fandom.com/wiki/Gustavo_Fring
Benicio Fuentes,https://breakingbad.fandom.com/wiki/Benicio_Fuentes
Gaff,https://breakingbad.fandom.com/wiki/Gaff
Gaff's Men,https://breakingbad.fandom.com/wiki/Gaff%27s_Men
Ed Galbraith,https://breakingbad.fandom.com/wiki/Ed_Galbraith
Mr. Gardiner,https://breakingbad.fandom.com/wiki/Mr._Gardiner
Gary,https://breakingbad.fandom.com/wiki/Gary
Getz,https://breakingbad.fandom.com/wiki/Getz
